WORD,IMG,IMG_SD,AoA,AoA_SD,FAM,FAM_SD,CON,CON_SD,UNCERTAINTY
ABANDONMENT,3.54,1.85,5.44,1.07,3.59,1.03,2.63,1.42,0.00
ABATEMENT,1.95,1.21,6.44,0.64,2.94,1.27,2.37,1.42,0.00
ABDOMEN,5.27,1.57,5.56,0.86,4.17,1.58,6.20,1.04,0.00
ABILITY,3.43,1.70,4.53,0.96,5.39,1.29,2.69,1.49,0.00
ABODE,4.36,1.81,5.53,1.01,2.96,1.09,4.89,1.69,0.00
ABRIDGEMENT,2.46,1.48,6.44,0.76,3.03,1.19,2.77,1.44,0.00
ABSCESS,4.97,1.52,5.33,1.05,3.92,1.33,5.63,1.33,0.00
ABSOLUTION,2.62,1.57,6.08,0.98,3.72,1.17,2.27,1.29,0.00
ABUNDANCE,3.92,1.89,5.19,1.13,4.48,1.23,2.57,1.46,0.00
ABYSS,4.19,2.19,5.97,0.76,2.90,1.14,4.91,1.76,0.00
ACCELERATION,4.92,1.58,5.36,0.92,4.99,1.22,3.60,1.76,0.00
ACCIDENT,5.24,1.50,3.29,0.91,5.64,1.18,4.29,1.68,0.00
ACCOMMODATION,4.72,1.73,5.36,1.11,5.33,1.22,4.80,1.72,0.17
ACCORDANCE,2.43,1.35,5.44,1.01,4.31,1.23,2.60,1.64,0.00
ACCUMULATION,3.60,1.76,5.39,1.03,4.51,1.47,2.77,1.12,0.00
ACCUSER,3.49,1.69,5.11,0.94,3.63,1.36,4.34,1.77,0.00
ACIDITY,4.38,2.03,6.22,0.82,3.99,1.80,3.89,1.80,0.00
ACRE,4.70,1.98,4.11,0.84,4.27,1.33,4.77,1.88,0.00
ACT,4.35,1.71,3.19,0.74,5.70,1.21,3.86,1.62,1.60
ACTUALITY,2.19,1.27,5.86,0.92,3.61,1.19,2.34,1.24,0.00
ADDER,5.89,1.41,3.56,0.96,3.61,1.84,6.51,1.05,0.00
ADDITION,3.41,1.57,3.14,0.67,5.51,1.20,3.29,1.74,1.18
ADHERENCE,3.32,1.71,6.03,0.76,3.75,1.24,2.54,1.20,0.00
ADJOURNMENT,3.11,1.96,6.06,0.91,3.27,1.23,3.06,1.62,0.00
ADMINISTRATION,4.19,1.60,5.61,0.68,5.02,1.19,3.29,1.68,0.00
ADMISSION,3.95,1.72,4.58,0.95,4.82,1.29,3.00,1.60,0.38
