,dep_acomp_depth,dep_acomp_hierarchy,dep_acomp_iota,dep_acomp_shape,dep_acomp_width,dep_advcl_depth,dep_advcl_hierarchy,dep_advcl_iota,dep_advcl_shape,dep_advcl_width,dep_advmod_depth,dep_advmod_hierarchy,dep_advmod_iota,dep_advmod_shape,dep_advmod_width,dep_agent_depth,dep_agent_hierarchy,dep_agent_iota,dep_agent_shape,dep_agent_width,dep_amod_depth,dep_amod_hierarchy,dep_amod_iota,dep_amod_shape,dep_amod_width,dep_appos_depth,dep_appos_hierarchy,dep_appos_iota,dep_appos_shape,dep_appos_width,dep_aux_depth,dep_aux_hierarchy,dep_aux_iota,dep_aux_shape,dep_aux_width,dep_auxpass_depth,dep_auxpass_hierarchy,dep_auxpass_iota,dep_auxpass_shape,dep_auxpass_width,dep_cc_depth,dep_cc_hierarchy,dep_cc_iota,dep_cc_shape,dep_cc_width,dep_ccomp_depth,dep_ccomp_hierarchy,dep_ccomp_iota,dep_ccomp_shape,dep_ccomp_width,dep_conj_depth,dep_conj_hierarchy,dep_conj_iota,dep_conj_shape,dep_conj_width,dep_cop_depth,dep_cop_hierarchy,dep_cop_iota,dep_cop_shape,dep_cop_width,dep_csubj_depth,dep_csubj_hierarchy,dep_csubj_iota,dep_csubj_shape,dep_csubj_width,dep_dep_depth,dep_dep_hierarchy,dep_dep_iota,dep_dep_shape,dep_dep_width,dep_det_depth,dep_det_hierarchy,dep_det_iota,dep_det_shape,dep_det_width,dep_discourse_depth,dep_discourse_hierarchy,dep_discourse_iota,dep_discourse_shape,dep_discourse_width,dep_dobj_depth,dep_dobj_hierarchy,dep_dobj_iota,dep_dobj_shape,dep_dobj_width,dep_expl_depth,dep_expl_hierarchy,dep_expl_iota,dep_expl_shape,dep_expl_width,dep_iobj_depth,dep_iobj_hierarchy,dep_iobj_iota,dep_iobj_shape,dep_iobj_width,dep_mark_depth,dep_mark_hierarchy,dep_mark_iota,dep_mark_shape,dep_mark_width,dep_neg_depth,dep_neg_hierarchy,dep_neg_iota,dep_neg_shape,dep_neg_width,dep_nn_depth,dep_nn_hierarchy,dep_nn_iota,dep_nn_shape,dep_nn_width,dep_npadvmod_depth,dep_npadvmod_hierarchy,dep_npadvmod_iota,dep_npadvmod_shape,dep_npadvmod_width,dep_nsubj_depth,dep_nsubj_hierarchy,dep_nsubj_iota,dep_nsubj_shape,dep_nsubj_width,dep_nsubjpass_depth,dep_nsubjpass_hierarchy,dep_nsubjpass_iota,dep_nsubjpass_shape,dep_nsubjpass_width,dep_num_depth,dep_num_hierarchy,dep_num_iota,dep_num_shape,dep_num_width,dep_number_depth,dep_number_hierarchy,dep_number_iota,dep_number_shape,dep_number_width,dep_parataxis_depth,dep_parataxis_hierarchy,dep_parataxis_iota,dep_parataxis_shape,dep_parataxis_width,dep_pcomp_depth,dep_pcomp_hierarchy,dep_pcomp_iota,dep_pcomp_shape,dep_pcomp_width,dep_pobj_depth,dep_pobj_hierarchy,dep_pobj_iota,dep_pobj_shape,dep_pobj_width,dep_poss_depth,dep_poss_hierarchy,dep_poss_iota,dep_poss_shape,dep_poss_width,dep_possessive_depth,dep_possessive_hierarchy,dep_possessive_iota,dep_possessive_shape,dep_possessive_width,dep_preconj_depth,dep_preconj_hierarchy,dep_preconj_iota,dep_preconj_shape,dep_preconj_width,dep_predet_depth,dep_predet_hierarchy,dep_predet_iota,dep_predet_shape,dep_predet_width,dep_prep_depth,dep_prep_hierarchy,dep_prep_iota,dep_prep_shape,dep_prep_width,dep_prepc_depth,dep_prepc_hierarchy,dep_prepc_iota,dep_prepc_shape,dep_prepc_width,dep_prt_depth,dep_prt_hierarchy,dep_prt_iota,dep_prt_shape,dep_prt_width,dep_quantmod_depth,dep_quantmod_hierarchy,dep_quantmod_iota,dep_quantmod_shape,dep_quantmod_width,dep_rcmod_depth,dep_rcmod_hierarchy,dep_rcmod_iota,dep_rcmod_shape,dep_rcmod_width,dep_tmod_depth,dep_tmod_hierarchy,dep_tmod_iota,dep_tmod_shape,dep_tmod_width,dep_vmod_depth,dep_vmod_hierarchy,dep_vmod_iota,dep_vmod_shape,dep_vmod_width,dep_xcomp_depth,dep_xcomp_hierarchy,dep_xcomp_iota,dep_xcomp_shape,dep_xcomp_width,has_aphasia
1001,,,,,,,,,,,3.0,0.0,0.4,2.0,1.0,,,,,,2.0,,0.5,1.5,1.0,3.66666666667,-0.18252798395,0.362938180828,2.45,1.23333333333,2.0,,0.5,1.5,1.0,,,,,,,,,,,4.0,0.0,0.3,2.5,1.0,,,,,,2.0,,0.5,1.5,1.0,,,,,,2.8,0.0089384165927,0.431459694989,1.93333333333,1.06666666667,2.0,,0.5,1.5,1.0,,,,,,3.33333333333,1.0,0.425925925926,2.16666666667,1.0,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.93333333333,-0.325884652839,0.418357843137,2.06666666667,1.2,,,,,,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.66666666667,0.792481250361,0.35641025641,2.83333333333,1.0,4.0,0.0,0.3,2.5,1.0,1
1002,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,2.33333333333,-0.955307917037,0.46568627451,1.75,1.16666666667,3.25,-0.0729939816376,0.404621800109,2.20833333333,1.16666666667,,,,,,,,,,,,,,,,,,,,,3.44444444444,-0.743559381832,0.395709516375,2.63888888889,1.83333333333,,,,,,,,,,,2.625,-0.333333333333,0.460677083333,1.875,1.125,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,,,,,,4.0,-0.847625880977,0.39,2.75,1.5,,,,,,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.3,2.5,1.0,,,,,,,,,,,,,,,,1
1003,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,4.0,-0.182123166815,0.327668845316,2.66666666667,1.33333333333,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,4.0,0.0,0.3,2.5,1.0,2.0,,0.5,1.5,1.0,,,,,,,,,,,2.28571428571,0.0,0.471428571429,1.64285714286,1.0,2.0,,0.5,1.5,1.0,,,,,,2.66666666667,0.0,0.433333333333,1.83333333333,1.0,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,,,,,,2.22222222222,0.0,0.477777777778,1.61111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.4,2.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.277777777778,3.5,1.0,,,,,,,,,,,1
1004,,,,,,5.0,-0.5,0.290625,3.5,2.0,2.66666666667,0.0,0.433333333333,1.83333333333,1.0,,,,,,2.66666666667,1.0,0.462962962963,1.83333333333,1.0,4.5,-1.17006964699,0.391711229947,3.25,2.0,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,4.0,-0.636871944691,0.296078431373,2.83333333333,1.66666666667,4.16666666667,-0.518761949903,0.342437363834,2.875,1.58333333333,2.0,,0.5,1.5,1.0,,,,,,4.85714285714,-0.426631641627,0.371207482993,3.35714285714,1.85714285714,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,3.55555555556,-0.272945119153,0.343137254902,2.38888888889,1.22222222222,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,,,,,,3.51724137931,-0.402920189999,0.366212049336,2.46551724138,1.41379310345,,,,,,,,,,,,,,,,6.0,-1.10066026574,0.27868852459,6.0,6.0,5.0,0.5,0.288888888889,3.0,1.0,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,4.22222222222,-0.11941348963,0.316321713871,2.77777777778,1.33333333333,,,,,,,,,,,,,,,,5.33333333333,-0.333333333333,0.291666666667,3.5,1.66666666667,,,,,,4.5,0.666666666667,0.338888888889,2.75,1.0,,,,,,1
1005,,,,,,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,5.5,-0.106409223024,0.312856184366,3.5625,1.625,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,5.33333333333,-0.839432623378,0.282066993464,4.0,2.66666666667,4.57142857143,-0.349387794102,0.364202651714,3.21428571429,1.85714285714,,,,,,,,,,,4.22222222222,-0.769221235779,0.401699535033,3.11111111111,2.0,2.0,,0.5,1.5,1.0,,,,,,4.0,-0.318621647142,0.374221994135,2.8,1.6,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,3.66666666667,-0.478153128772,0.403269230769,2.5625,1.45833333333,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,-0.955307917037,0.294117647059,3.0,2.0,,,,,,,,,,,,,,,,,,,,,4.53333333333,-0.346014273844,0.320131652661,2.96666666667,1.4,,,,,,,,,,,,,,,,4.0,0.0,0.3,2.5,1.0,,,,,,5.5,0.30384101803,0.282070707071,3.375,1.25,6.0,-0.847625880977,0.28,4.0,2.0,1
1006,,,,,,4.0,-0.955307917037,0.294117647059,3.0,2.0,2.4,0.0,0.46,1.7,1.0,,,,,,2.0,,0.5,1.5,1.0,2.66666666667,-0.955307917037,0.43137254902,2.0,1.33333333333,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,6.33333333333,-0.929361293752,0.283260199241,5.08333333333,3.83333333333,3.42857142857,-0.33246929643,0.38315018315,2.42857142857,1.42857142857,2.0,,0.5,1.5,1.0,,,,,,2.6,-1.32402353591,0.477419354839,2.0,1.4,2.0,,0.5,1.5,1.0,,,,,,2.88888888889,-0.477653958518,0.409803921569,2.05555555556,1.22222222222,,,,,,,,,,,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,,,,,,2.44444444444,-0.634959338351,0.475998644139,1.83333333333,1.22222222222,,,,,,2.0,,0.5,1.5,1.0,,,,,,4.0,-0.955307917037,0.294117647059,3.0,2.0,,,,,,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,,,,,,2.8,-0.238826979259,0.419411764706,1.95,1.1,6.0,-1.36133512911,0.276595744681,5.0,4.0,2.0,,0.5,1.5,1.0,,,,,,6.0,-1.0,0.28125,4.5,3.0,,,,,,4.0,-0.901466899007,0.358039215686,2.83333333333,1.66666666667,6.0,-0.847625880977,0.28,4.0,2.0,1
1007,6.0,-1.0,0.28125,4.5,3.0,8.0,-1.09094870948,0.277777777778,6.5,5.0,2.81818181818,0.8,0.450505050505,1.90909090909,1.0,,,,,,2.0,,0.5,1.5,1.0,4.85714285714,-0.202973003884,0.319407763105,3.28571428571,1.71428571429,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,5.2,-0.93965453087,0.286562026994,4.06666666667,2.93333333333,6.2,-1.00477640281,0.28562584464,5.1,4.0,2.0,,0.5,1.5,1.0,,,,,,3.77777777778,-0.47907444868,0.361285842294,2.72222222222,1.66666666667,2.0,,0.5,1.5,1.0,,,,,,4.07692307692,-0.222728493819,0.364644324727,2.80769230769,1.53846153846,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,4.0,0.0,0.3,2.5,1.0,3.18918918919,-0.47284331468,0.434172252697,2.28378378378,1.37837837838,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,,,,,,5.66666666667,-0.82322078897,0.286272519692,4.20833333333,2.75,6.0,-0.847625880977,0.28,4.0,2.0,8.0,-0.617103012948,0.280861640431,5.5,3.0,2.0,,0.5,1.5,1.0,,,,,,,,,,,,,,,,4.52941176471,-0.452052712218,0.346090073681,3.14705882353,1.76470588235,4.0,-1.0,0.291666666667,3.5,3.0,2.0,,0.5,1.5,1.0,,,,,,5.5,-0.835472015489,0.284327651515,4.375,3.25,2.0,,0.5,1.5,1.0,6.8,0.164269600086,0.277739130435,4.5,2.2,5.33333333333,-0.151769305679,0.282298474946,3.66666666667,2.0,1
1009,,,,,,,,,,,2.8,-0.369971922459,0.456829268293,1.95,1.1,,,,,,2.0,,0.5,1.5,1.0,4.0,-0.177617928475,0.349637145638,2.7619047619,1.52380952381,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,5.75,-1.02799174718,0.28432567973,4.75,3.75,4.91666666667,-0.720355683602,0.340332415584,3.66666666667,2.41666666667,2.0,,0.5,1.5,1.0,,,,,,3.88235294118,-0.514270344283,0.375774934579,2.82352941176,1.76470588235,2.0,,0.5,1.5,1.0,,,,,,4.8,-0.00729747715783,0.332239392369,3.03333333333,1.26666666667,2.0,,0.5,1.5,1.0,,,,,,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,8.0,-0.784635927881,0.272727272727,5.0,2.0,3.33333333333,-0.0350884504371,0.393073099966,2.29166666667,1.25,3.11111111111,-0.25,0.408333333333,2.16666666667,1.22222222222,2.0,,0.5,1.5,1.0,,,,,,5.14285714286,-0.850758273862,0.284576330532,3.85714285714,2.57142857143,2.0,,0.5,1.5,1.0,3.77777777778,-0.130087976296,0.340668119099,2.5,1.22222222222,2.5,0.0,0.45,1.75,1.0,2.0,,0.5,1.5,1.0,,,,,,,,,,,3.77272727273,0.0128257735392,0.376881754609,2.46590909091,1.15909090909,,,,,,2.0,,0.5,1.5,1.0,,,,,,4.0,-1.0,0.291666666667,3.5,3.0,,,,,,3.0,0.0,0.4,2.0,1.0,4.0,-0.955307917037,0.294117647059,3.0,2.0,1
1010,,,,,,6.15384615385,-1.20533416489,0.282734650703,5.92307692308,5.69230769231,2.27586206897,0.142857142857,0.475478927203,1.63793103448,1.0,6.0,-0.562989953096,0.28125,4.5,3.0,2.06666666667,0.0,0.493333333333,1.53333333333,1.0,6.0,-0.535160702271,0.290909090909,4.66666666667,3.33333333333,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,7.54545454545,-1.19561737576,0.28099519712,7.52272727273,7.5,5.05,-0.825240386241,0.324472196827,4.45,3.85,2.0,,0.5,1.5,1.0,,,,,,5.47826086957,-0.805553380303,0.332133856421,4.65217391304,3.82608695652,2.0,,0.5,1.5,1.0,,,,,,4.17777777778,-0.457094942728,0.353265629823,3.12222222222,2.06666666667,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,4.0,0.0,0.3,2.5,1.0,2.6213592233,-0.454153572113,0.455797691824,1.93203883495,1.2427184466,3.33333333333,-1.0,0.427083333333,2.5,1.66666666667,2.0,,0.5,1.5,1.0,,,,,,12.0,-1.34678328068,0.271929824561,10.5,9.0,,,,,,4.0,0.0,0.3,2.5,1.0,2.0,,0.5,1.5,1.0,,,,,,,,,,,2.0,,0.5,1.5,1.0,4.38961038961,-0.477070537447,0.35820021382,3.28571428571,2.18181818182,8.0,-1.4900831916,0.349800024997,7.33333333333,6.66666666667,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,7.73333333333,-1.14012017409,0.280319225602,7.2,6.66666666667,,,,,,10.0,-1.07261884424,0.283720790533,10.5,11.0,5.46666666667,-1.01672662632,0.299988452695,4.9,4.33333333333,1
1011,,,,,,6.33333333333,-1.23757310953,0.282375618785,6.58333333333,6.83333333333,2.42424242424,-0.542709926417,0.467882749059,1.77272727273,1.12121212121,,,,,,2.0,,0.5,1.5,1.0,5.25,-0.661223423284,0.363386709381,4.125,3.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,6.55555555556,-1.07493231924,0.292512917528,5.80555555556,5.05555555556,4.9756097561,-0.720474808467,0.328294680819,3.85365853659,2.73170731707,2.0,,0.5,1.5,1.0,,,,,,3.88888888889,-1.01875206801,0.403185024852,3.16666666667,2.44444444444,2.0,,0.5,1.5,1.0,,,,,,5.0,-0.717149613599,0.340789561353,3.71590909091,2.43181818182,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,,,,,,2.80555555556,-0.380223553408,0.43148590095,2.03472222222,1.26388888889,2.4,0.0,0.46,1.7,1.0,2.0,,0.5,1.5,1.0,,,,,,6.0,-1.27906514689,0.279050144648,6.25,6.5,7.0,-0.265134971098,0.278888888889,5.75,4.5,3.8,-0.479484023784,0.393650487517,2.9,2.0,2.0,,0.5,1.5,1.0,2.0,,0.5,1.5,1.0,,,,,,2.0,,0.5,1.5,1.0,4.58333333333,-0.305226297443,0.332644217379,3.29166666667,2.0,5.6,-0.804239454836,0.329240196078,4.6,3.6,2.0,,0.5,1.5,1.0,,,,,,5.71428571429,-0.969863656118,0.284910081054,4.42857142857,3.14285714286,,,,,,7.0,-0.57495107066,0.307191681009,5.3125,3.625,6.66666666667,-1.02251268731,0.279672293781,5.16666666667,3.66666666667,1
